,Unnamed: 0,loss,val_acc,_timestamp,_time_this_iter_s,_training_iteration,time_this_iter_s,done,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/train_loop_config/FUSION_N,config/train_loop_config/SCALING_N,config/train_loop_config/batch_size,config/train_loop_config/dataset,config/train_loop_config/gamma,config/train_loop_config/lr,config/train_loop_config/momentum,config/train_loop_config/seed,logdir
21,4,0.9077911376953125,0.6895999908447266,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.89,0.043300000000000005,0.797,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
22,4,2.2576382160186768,0.1907999962568283,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.11,0.0002,0.732,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
23,4,1.6477173566818237,0.3814999759197235,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.68,0.0021000000000000003,0.5,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
24,4,1.825234293937683,0.3059999942779541,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.11,0.002,0.501,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
25,4,0.6650206446647644,0.7745999693870544,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.18,0.1778,0.594,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
26,4,1.4240349531173706,0.4721999764442444,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.76,0.0037,0.547,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
27,4,1.2358554601669312,0.5936999917030334,1682381008,7.619777679443359,50,7.492901086807251,True,50,b38f6_F0002,41f89ba555d44badb180013ba1b86641,2023-04-25_08-03-28,1682381008,382.01077818870544,3223968,slabgpu03,10.100.79.96,382.01077818870544,0,50,0.1170616149902343,9,8,512,cifar10,0.8,0.054400000000000004,0.907,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0002_hydro_2023-04-25_07-57-03
28,5,2.0151326656341553,0.22919999063014984,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.04,0.0011,0.65,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
29,5,0.8084961771965027,0.7256999611854553,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.4,0.1303,0.791,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
30,5,0.6276084780693054,0.7857999801635742,1682380984,6.903576850891113,50,6.9021384716033936,True,50,b38f6_F0003,517038c8245f4f91ab141d03f3773962,2023-04-25_08-03-04,1682380984,357.4703271389008,3223969,slabgpu03,10.100.79.96,357.4703271389008,0,50,0.1156482696533203,8,8,512,cifar10,0.05,0.1827,0.846,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0003_hydro_2023-04-25_07-57-03
